weights_str,w0,w1,w2,reg_ip,mae_ERA,mae_WHIP
6/5/1,6,5,1,600,0.682,0.12971
4/2/2,4,2,2,600,0.6824,0.12907
4/3/4,4,3,4,600,0.68251,0.12817
5/5/3,5,5,3,400,0.68256,0.12899
6/4/2,6,4,2,600,0.68256,0.12916
3/2/1,3,2,1,300,0.68256,0.12916
6/4/3,6,4,3,600,0.68257,0.1291
3/1/1,3,1,1,600,0.68279,0.12986
7/4/2,7,4,2,800,0.68285,0.12898
5/2/3,5,2,3,800,0.68308,0.12966
7/5/1,7,5,1,800,0.68313,0.12913
6/3/2,6,3,2,800,0.68319,0.12921
3/5/3,3,5,3,400,0.68331,0.12783
4/2/3,4,2,3,800,0.68337,0.12953
4/5/2,4,5,2,300,0.68355,0.12933
3/1/1,3,1,1,800,0.68361,0.13023
6/4/1,6,4,1,600,0.68362,0.12954
5/3/3,5,3,3,600,0.68364,0.12907
5/3/4,5,3,4,600,0.68365,0.12833
6/3/3,6,3,3,800,0.68367,0.12915
4/5/1,4,5,1,400,0.68382,0.13001
8/5/3,8,5,3,800,0.6839,0.12913
3/2/3,3,2,3,400,0.68391,0.12838
7/4/3,7,4,3,800,0.68397,0.12917
5/2/1,5,2,1,800,0.68425,0.12954
8/5/2,8,5,2,800,0.68428,0.12931
7/4/4,7,4,4,800,0.68448,0.12924
4/2/3,4,2,3,600,0.6846,0.12955
5/5/2,5,5,2,400,0.68464,0.13018
7/5/3,7,5,3,600,0.68476,0.12962
3/4/3,3,4,3,300,0.68477,0.12821
6/3/4,6,3,4,800,0.68483,0.1293
3/4/4,3,4,4,400,0.68489,0.12808
4/2/4,4,2,4,800,0.68495,0.12899
4/5/4,4,5,4,400,0.68502,0.12824
6/4/4,6,4,4,600,0.68504,0.12951
3/2/2,3,2,2,300,0.68504,0.12951
7/5/4,7,5,4,600,0.68508,0.12961
5/2/2,5,2,2,600,0.68515,0.12968
8/5/4,8,5,4,800,0.68515,0.1294
4/4/3,4,4,3,300,0.68518,0.12934
7/3/3,7,3,3,800,0.6852,0.12965
6/2/2,6,2,2,800,0.68526,0.12993
3/1/1,3,1,1,400,0.68526,0.12993
7/5/2,7,5,2,600,0.68533,0.12977
5/4/2,5,4,2,400,0.68545,0.13025
7/3/2,7,3,2,800,0.68551,0.12977
3/5/2,3,5,2,300,0.68553,0.12872
3/1/2,3,1,2,600,0.68557,0.13021
5/4/3,5,4,3,400,0.68571,0.13018
5/5/1,5,5,1,400,0.68574,0.13051
6/2/3,6,2,3,800,0.68585,0.13003
5/4/4,5,4,4,400,0.68591,0.12933
4/4/2,4,4,2,300,0.68593,0.1303
4/4/4,4,4,4,400,0.68595,0.12841
3/3/3,3,3,3,300,0.68595,0.12841
5/2/4,5,2,4,800,0.68598,0.13009
7/3/4,7,3,4,800,0.68601,0.12992
3/2/4,3,2,4,800,0.68606,0.12882
5/5/4,5,5,4,400,0.68606,0.12916
3/1/2,3,1,2,800,0.68609,0.13045
6/3/1,6,3,1,800,0.68609,0.12961
7/4/1,7,4,1,800,0.68609,0.12944
5/2/3,5,2,3,600,0.6862,0.12997
4/1/1,4,1,1,800,0.6864,0.13066
3/5/1,3,5,1,300,0.68662,0.12962
5/4/1,5,4,1,400,0.68667,0.13057
4/5/3,4,5,3,300,0.6867,0.12929
4/4/1,4,4,1,300,0.6868,0.13068
4/1/2,4,1,2,800,0.68682,0.13046
3/4/1,3,4,1,200,0.68685,0.13028
4/3/3,4,3,3,300,0.68697,0.12912
3/3/2,3,3,2,200,0.68721,0.12974
4/2/4,4,2,4,600,0.68725,0.12917
3/1/3,3,1,3,800,0.68725,0.12983
4/3/2,4,3,2,300,0.68726,0.13003
4/2/2,4,2,2,400,0.68746,0.12978
8/4/4,8,4,4,800,0.68746,0.12978
6/3/3,6,3,3,600,0.68746,0.12978
3/5/4,3,5,4,400,0.68764,0.12838
8/4/3,8,4,3,800,0.68769,0.12978
6/3/2,6,3,2,600,0.68778,0.1298
8/5/1,8,5,1,800,0.68782,0.12976
7/4/2,7,4,2,600,0.68804,0.12996
3/1/3,3,1,3,600,0.68805,0.12966
8/4/2,8,4,2,800,0.68812,0.12998
4/2/1,4,2,1,400,0.68812,0.12998
6/5/4,6,5,4,400,0.68815,0.12987
4/3/1,4,3,1,300,0.6882,0.13078
5/2/1,5,2,1,600,0.68823,0.12992
4/1/1,4,1,1,600,0.68824,0.13068
3/3/4,3,3,4,400,0.68824,0.12856
3/2/4,3,2,4,600,0.68828,0.12888
4/1/2,4,1,2,600,0.68829,0.13053
3/1/2,3,1,2,400,0.68834,0.13039
6/2/4,6,2,4,800,0.68834,0.13039
6/2/1,6,2,1,800,0.68842,0.13024
6/3/4,6,3,4,600,0.68856,0.12992
5/3/2,5,3,2,400,0.68867,0.13003
3/5/3,3,5,3,300,0.68872,0.12872
3/2/3,3,2,3,300,0.68879,0.12899
7/3/1,7,3,1,800,0.68882,0.1301
7/4/3,7,4,3,600,0.68892,0.13005
4/3/4,4,3,4,400,0.68901,0.12887
7/4/4,7,4,4,600,0.68903,0.13009
8/3/3,8,3,3,800,0.68906,0.13027
8/3/4,8,3,4,800,0.68914,0.13049
3/3/1,3,3,1,200,0.68915,0.13102
7/5/1,7,5,1,600,0.68917,0.13014
3/4/2,3,4,2,200,0.68924,0.12979
4/5/1,4,5,1,300,0.68928,0.13126
7/2/3,7,2,3,800,0.68928,0.13057
6/5/3,6,5,3,400,0.68951,0.13087
8/3/2,8,3,2,800,0.68966,0.13049
7/2/2,7,2,2,800,0.68972,0.13079
5/3/1,5,3,1,400,0.68973,0.13042
5/5/3,5,5,3,300,0.6898,0.13017
8/5/3,8,5,3,600,0.68981,0.13029
5/2/4,5,2,4,600,0.68985,0.13047
4/2/3,4,2,3,400,0.69005,0.13031
6/5/2,6,5,2,400,0.69008,0.13107
5/3/3,5,3,3,400,0.69013,0.13027
4/1/4,4,1,4,800,0.69021,0.13004
8/4/1,8,4,1,800,0.69022,0.13005
3/4/4,3,4,4,300,0.69027,0.12888
4/1/3,4,1,3,800,0.69029,0.131
6/2/3,6,2,3,600,0.69029,0.1307
7/3/3,7,3,3,600,0.69033,0.13047
6/2/2,6,2,2,600,0.69041,0.13052
3/1/1,3,1,1,300,0.69041,0.13052
8/5/2,8,5,2,600,0.69044,0.13049
7/3/4,7,3,4,600,0.69071,0.13078
7/3/2,7,3,2,600,0.69091,0.13065
8/5/4,8,5,4,600,0.69092,0.13042
5/3/4,5,3,4,400,0.69094,0.12946
7/2/4,7,2,4,800,0.69105,0.1308
4/5/4,4,5,4,300,0.6912,0.12931
6/3/1,6,3,1,600,0.69126,0.1303
6/4/3,6,4,3,400,0.69131,0.13065
6/5/1,6,5,1,400,0.69142,0.13146
6/4/2,6,4,2,400,0.69176,0.13086
5/1/2,5,1,2,800,0.69176,0.13079
3/2/1,3,2,1,200,0.69176,0.13086
5/5/2,5,5,2,300,0.69178,0.13137
7/4/1,7,4,1,600,0.69181,0.13043
4/4/4,4,4,4,300,0.69194,0.12946
3/1/3,3,1,3,400,0.69226,0.12995
4/1/3,4,1,3,600,0.69238,0.13111
5/2/2,5,2,2,400,0.69264,0.13083
5/4/2,5,4,2,300,0.69283,0.13147
4/1/4,4,1,4,600,0.69289,0.13022
5/4/3,5,4,3,300,0.69291,0.13132
5/5/1,5,5,1,300,0.69292,0.13191
8/2/3,8,2,3,800,0.69297,0.13121
3/1/2,3,1,2,300,0.69297,0.13106
6/2/4,6,2,4,600,0.69297,0.13106
5/1/1,5,1,1,800,0.69301,0.13092
3/5/4,3,5,4,300,0.69318,0.12924
4/2/2,4,2,2,300,0.6932,0.1307
8/4/4,8,4,4,600,0.6932,0.1307
7/2/1,7,2,1,800,0.69322,0.13098
5/2/3,5,2,3,400,0.69323,0.13118
8/3/1,8,3,1,800,0.69329,0.13087
6/4/1,6,4,1,400,0.69335,0.13126
8/4/3,8,4,3,600,0.69335,0.1308
5/4/4,5,4,4,300,0.69336,0.13053
6/4/4,6,4,4,400,0.6935,0.13093
3/2/2,3,2,2,200,0.6935,0.13093
5/5/4,5,5,4,300,0.6935,0.13035
3/1/4,3,1,4,800,0.69375,0.13067
8/4/2,8,4,2,600,0.69406,0.13109
4/2/1,4,2,1,300,0.69406,0.13109
4/2/4,4,2,4,400,0.69407,0.12994
3/3/4,3,3,4,300,0.69411,0.12941
6/2/1,6,2,1,600,0.69413,0.13092
3/4/3,3,4,3,200,0.69424,0.12983
5/4/1,5,4,1,300,0.69432,0.13188
8/2/4,8,2,4,800,0.69433,0.13134
4/5/2,4,5,2,200,0.69433,0.1314
4/1/2,4,1,2,400,0.69433,0.13134
3/2/4,3,2,4,400,0.69435,0.12928
5/1/3,5,1,3,800,0.69446,0.13118
8/5/1,8,5,1,600,0.6946,0.13093
6/1/2,6,1,2,800,0.69471,0.13115
7/3/1,7,3,1,600,0.69471,0.13108
7/5/3,7,5,3,400,0.69478,0.1313
4/3/4,4,3,4,300,0.69485,0.1299
7/2/3,7,2,3,600,0.69486,0.1315
7/5/4,7,5,4,400,0.69489,0.13117
8/3/3,8,3,3,600,0.69492,0.13123
8/3/4,8,3,4,600,0.69493,0.13144
5/1/2,5,1,2,600,0.69504,0.13113
3/5/2,3,5,2,200,0.69508,0.13058
3/3/3,3,3,3,200,0.69522,0.13
