weights_str,w0,w1,w2,reg_ip,mae_ERA,mae_WHIP
8/4/1,8,4,1,200,0.73384,0.13722
6/1/2,6,1,2,200,0.73494,0.13695
8/2/3,8,2,3,200,0.73555,0.13761
8/1/4,8,1,4,300,0.7358,0.13699
8/1/3,8,1,3,300,0.73588,0.13731
6/1/3,6,1,3,200,0.73682,0.13704
8/2/4,8,2,4,200,0.73766,0.13752
6/1/4,6,1,4,200,0.73845,0.13721
7/2/1,7,2,1,200,0.73931,0.13836
8/1/2,8,1,2,300,0.73961,0.13755
8/3/1,8,3,1,200,0.73998,0.1384
8/2/2,8,2,2,200,0.74052,0.13825
8/1/1,8,1,1,300,0.74171,0.13933
6/1/1,6,1,1,200,0.74303,0.13859
7/1/2,7,1,2,200,0.74387,0.13852
7/1/3,7,1,3,200,0.74423,0.13826
7/1/4,7,1,4,200,0.74491,0.13815
7/1/1,7,1,1,200,0.7504,0.14039
8/1/4,8,1,4,200,0.75071,0.13904
8/2/1,8,2,1,200,0.75072,0.13997
8/1/3,8,1,3,200,0.75088,0.13949
8/1/2,8,1,2,200,0.75545,0.14005
8/1/1,8,1,1,200,0.76025,0.1425
