weights_str,w0,w1,w2,reg_ip,mae_ERA,mae_WHIP
5/3/1,5,3,1,600,0.69435,0.13266
3/5/1,3,5,1,400,0.69456,0.13204
4/2/3,4,2,3,800,0.69457,0.13314
5/2/3,5,2,3,800,0.69482,0.13326
6/5/1,6,5,1,600,0.69484,0.13309
6/4/3,6,4,3,600,0.69486,0.13259
6/3/2,6,3,2,800,0.69487,0.13281
7/4/2,7,4,2,800,0.69497,0.13259
6/4/2,6,4,2,600,0.69499,0.13266
3/2/1,3,2,1,300,0.69499,0.13266
6/3/3,6,3,3,800,0.69513,0.13271
5/3/3,5,3,3,600,0.69518,0.13258
5/3/4,5,3,4,600,0.69522,0.13198
3/5/3,3,5,3,400,0.69541,0.13147
3/2/3,3,2,3,400,0.69543,0.13214
5/5/3,5,5,3,400,0.69551,0.13247
7/5/1,7,5,1,800,0.69555,0.13269
7/4/3,7,4,3,800,0.69569,0.13271
4/2/4,4,2,4,800,0.6958,0.13267
4/2/3,4,2,3,600,0.69583,0.13309
3/1/1,3,1,1,600,0.69603,0.13358
7/4/4,7,4,4,800,0.69604,0.13274
8/5/3,8,5,3,800,0.69609,0.13266
3/4/4,3,4,4,400,0.69621,0.13178
6/3/4,6,3,4,800,0.69625,0.13289
4/5/1,4,5,1,400,0.69636,0.13319
6/4/1,6,4,1,600,0.69647,0.13306
3/2/4,3,2,4,800,0.6966,0.1328
4/5/2,4,5,2,300,0.69669,0.13275
3/1/1,3,1,1,800,0.69672,0.13393
8/5/2,8,5,2,800,0.69676,0.13285
3/1/2,3,1,2,600,0.69677,0.13378
5/2/2,5,2,2,600,0.6969,0.13325
7/3/3,7,3,3,800,0.69692,0.13319
3/1/2,3,1,2,800,0.69704,0.1341
3/4/3,3,4,3,300,0.69705,0.13183
8/5/4,8,5,4,800,0.69707,0.13287
3/2/2,3,2,2,300,0.69707,0.133
6/4/4,6,4,4,600,0.69707,0.133
5/2/4,5,2,4,800,0.69709,0.1336
4/5/4,4,5,4,400,0.69723,0.13186
7/5/3,7,5,3,600,0.69727,0.13302
7/5/4,7,5,4,600,0.69743,0.13301
5/5/2,5,5,2,400,0.69746,0.13344
7/3/2,7,3,2,800,0.69766,0.13337
6/2/3,6,2,3,800,0.69772,0.13367
7/3/4,7,3,4,800,0.69784,0.13349
3/1/3,3,1,3,800,0.69785,0.13353
5/2/3,5,2,3,600,0.69792,0.13353
4/4/4,4,4,4,400,0.69795,0.13203
3/3/3,3,3,3,300,0.69795,0.13203
7/5/2,7,5,2,600,0.69796,0.13317
4/2/4,4,2,4,600,0.69803,0.13276
5/2/1,5,2,1,800,0.69805,0.13338
5/4/2,5,4,2,400,0.69811,0.13352
5/4/3,5,4,3,400,0.69817,0.13351
5/4/4,5,4,4,400,0.69824,0.13285
3/5/2,3,5,2,300,0.69826,0.1321
7/4/1,7,4,1,800,0.69831,0.13306
4/4/3,4,4,3,300,0.69835,0.13279
5/5/1,5,5,1,400,0.69864,0.13368
4/4/2,4,4,2,300,0.69866,0.1336
3/2/4,3,2,4,600,0.69867,0.13274
3/5/4,3,5,4,400,0.6987,0.13202
3/1/3,3,1,3,600,0.69875,0.13329
5/5/4,5,5,4,400,0.69888,0.13264
8/4/4,8,4,4,800,0.69903,0.13325
4/2/2,4,2,2,400,0.69903,0.13325
6/3/3,6,3,3,600,0.69903,0.13325
6/2/2,6,2,2,800,0.69903,0.13373
3/1/1,3,1,1,400,0.69903,0.13373
3/3/4,3,3,4,400,0.69915,0.13222
8/4/3,8,4,3,800,0.69939,0.13328
4/3/3,4,3,3,300,0.6994,0.13271
3/5/1,3,5,1,300,0.69949,0.13292
4/1/1,4,1,1,800,0.69955,0.13434
6/2/4,6,2,4,800,0.69958,0.1339
3/1/2,3,1,2,400,0.69958,0.1339
5/4/1,5,4,1,400,0.69959,0.13384
6/3/2,6,3,2,600,0.69962,0.13332
4/4/1,4,4,1,300,0.69969,0.13386
4/1/2,4,1,2,800,0.69974,0.1342
4/5/3,4,5,3,300,0.69975,0.13271
4/3/2,4,3,2,300,0.69976,0.1334
3/3/2,3,3,2,200,0.69994,0.13321
6/3/1,6,3,1,800,0.69996,0.13344
3/4/1,3,4,1,200,0.70008,0.1336
6/3/4,6,3,4,600,0.70009,0.13342
4/2/1,4,2,1,400,0.70026,0.13352
8/4/2,8,4,2,800,0.70026,0.13352
8/5/1,8,5,1,800,0.70033,0.1333
3/2/3,3,2,3,300,0.70043,0.13258
