weights_str,w0,w1,w2,reg_ip,mae_ERA,mae_WHIP
7/1/1,7,1,1,300,0.74674,0.1407
8/4/1,8,4,1,200,0.74733,0.14047
6/1/4,6,1,4,200,0.74745,0.14054
8/2/1,8,2,1,300,0.74774,0.14078
8/1/4,8,1,4,300,0.74798,0.14076
6/1/2,6,1,2,200,0.74815,0.14063
8/2/3,8,2,3,200,0.74849,0.14116
8/1/3,8,1,3,300,0.7485,0.14096
6/1/3,6,1,3,200,0.74891,0.14078
8/2/4,8,2,4,200,0.74989,0.14117
8/1/2,8,1,2,300,0.75297,0.14123
7/2/1,7,2,1,200,0.75337,0.14171
8/3/1,8,3,1,200,0.75375,0.14165
8/2/2,8,2,2,200,0.75401,0.14174
8/1/1,8,1,1,300,0.7558,0.14259
7/1/4,7,1,4,200,0.75613,0.14182
7/1/3,7,1,3,200,0.75674,0.14202
6/1/1,6,1,1,200,0.757,0.14213
7/1/2,7,1,2,200,0.75721,0.14215
8/1/4,8,1,4,200,0.76232,0.14277
8/1/3,8,1,3,200,0.76298,0.1431
7/1/1,7,1,1,200,0.76439,0.14364
8/2/1,8,2,1,200,0.7646,0.14327
8/1/2,8,1,2,200,0.76847,0.14365
8/1/1,8,1,1,200,0.77435,0.14566
